Pakistan,West Indies,1977-03-16,ODI,Albion,lost,4 wickets,lost,1st,176,7,45,3.91
West Indies,Pakistan,1977-03-16,ODI,Albion,won,4 wickets,won,2nd,182,6,43.2,4.2
Australia,England,1977-06-02,ODI,Manchester,lost,2 wickets,won,1st,169,9,55,3.07
England,Australia,1977-06-02,ODI,Manchester,won,2 wickets,lost,2nd,173,8,45.2,3.81
England,Australia,1977-06-04,ODI,Birmingham,won,101 runs,lost,1st,171,10,53.5,3.17
Australia,England,1977-06-04,ODI,Birmingham,lost,101 runs,won,2nd,70,10,25.2,2.76
England,Australia,1977-06-06,ODI,The Oval,lost,2 wickets,lost,1st,242,10,54.2,4.45
Australia,England,1977-06-06,ODI,The Oval,won,2 wickets,won,2nd,246,8,53.2,4.61
Pakistan,England,1977-12-23,ODI,Sahiwal,lost,3 wickets,won,1st,208,6,35,4.45
England,Pakistan,1977-12-23,ODI,Sahiwal,won,3 wickets,lost,2nd,212,7,35,4.54
Pakistan,England,1977-12-30,ODI,Sialkot,lost,6 wickets,lost,1st,151,10,33.7,3.34
England,Pakistan,1977-12-30,ODI,Sialkot,won,6 wickets,won,2nd,152,4,32.7,3.46
Pakistan,England,1978-01-13,ODI,Lahore,won,36 runs,lost,1st,158,6,35,3.38
West Indies,Australia,1978-04-12,ODI,Castries,lost,2 wickets,won,1st,139,10,34.4,4
Australia,West Indies,1978-04-12,ODI,Castries,won,2 wickets,lost,2nd,140,8,35,4
England,Pakistan,1978-05-24,ODI,Manchester,won,132 runs,won,1st,217,7,55,3.94
Pakistan,England,1978-05-24,ODI,Manchester,lost,132 runs,lost,2nd,85,10,47,1.8
England,Pakistan,1978-05-26,ODI,The Oval,won,94 runs,lost,1st,248,6,55,4.5
Pakistan,England,1978-05-26,ODI,The Oval,lost,94 runs,won,2nd,154,8,55,2.8
England,New Zealand,1978-07-15,ODI,Scarborough,won,19 runs,lost,1st,206,8,55,3.74
New Zealand,England,1978-07-15,ODI,Scarborough,lost,19 runs,won,2nd,187,8,55,3.4
England,New Zealand,1978-07-17,ODI,Manchester,won,126 runs,won,1st,278,5,55,5.05
New Zealand,England,1978-07-17,ODI,Manchester,lost,126 runs,lost,2nd,152,10,41.2,3.67
India,Pakistan,1978-10-01,ODI,Quetta,won,4 runs,won,1st,170,7,40,4.25
Pakistan,India,1978-10-01,ODI,Quetta,lost,4 runs,lost,2nd,166,8,40,4.15
India,Pakistan,1978-10-13,ODI,Sialkot,lost,8 wickets,lost,1st,79,10,34.2,2.3
Pakistan,India,1978-10-13,ODI,Sialkot,won,8 wickets,won,2nd,83,2,16.5,4.93
Pakistan,India,1978-11-03,ODI,Sahiwal,won,NULL,won,1st,205,7,40,5.12
India,Pakistan,1978-11-03,ODI,Sahiwal,lost,NULL,lost,2nd,183,2,37.4,4.85
Australia,England,1979-01-24,ODI,Melbourne,lost,7 wickets,won,1st,101,10,33.5,2.25
England,Australia,1979-01-24,ODI,Melbourne,won,7 wickets,lost,2nd,102,3,28.2,2.7
England,Australia,1979-02-04,ODI,Melbourne,lost,4 wickets,lost,1st,212,6,40,3.97
Australia,England,1979-02-04,ODI,Melbourne,won,4 wickets,won,2nd,215,6,38.6,4.16
England,Australia,1979-02-07,ODI,Melbourne,lost,6 wickets,lost,1st,94,10,31.7,2.21
Australia,England,1979-02-07,ODI,Melbourne,won,6 wickets,won,2nd,95,4,21.5,3.29
India,West Indies,1979-06-09,ODI,Birmingham,lost,9 wickets,lost,1st,190,10,53.1,3.57
West Indies,India,1979-06-09,ODI,Birmingham,won,9 wickets,won,2nd,194,1,51.3,3.76
Sri Lanka,New Zealand,1979-06-09,ODI,Nottingham,lost,9 wickets,lost,1st,189,10,56.5,3.32
New Zealand,Sri Lanka,1979-06-09,ODI,Nottingham,won,9 wickets,won,2nd,190,1,47.4,3.98
Canada,Pakistan,1979-06-09,ODI,Leeds,lost,8 wickets,won,1st,139,9,60,2.31
Pakistan,Canada,1979-06-09,ODI,Leeds,won,8 wickets,lost,2nd,140,2,40.1,3.48
India,New Zealand,1979-06-13,ODI,Leeds,lost,8 wickets,lost,1st,182,10,55.5,3.25
New Zealand,India,1979-06-13,ODI,Leeds,won,8 wickets,won,2nd,183,2,57,3.21
Pakistan,Australia,1979-06-13,ODI,Nottingham,won,89 runs,lost,1st,286,7,60,4.76
Australia,Pakistan,1979-06-13,ODI,Nottingham,lost,89 runs,won,2nd,197,10,57.1,3.44
Canada,England,1979-06-13,ODI,Manchester,lost,8 wickets,won,1st,45,10,40.3,1.11
England,Canada,1979-06-13,ODI,Manchester,won,8 wickets,lost,2nd,46,2,13.5,3.32
Sri Lanka,India,1979-06-16,ODI,Manchester,won,47 runs,lost,1st,238,5,60,3.96
India,Sri Lanka,1979-06-16,ODI,Manchester,lost,47 runs,won,2nd,191,10,54.1,3.52
West Indies,New Zealand,1979-06-16,ODI,Nottingham,won,32 runs,lost,1st,244,7,60,4.06
New Zealand,West Indies,1979-06-16,ODI,Nottingham,lost,32 runs,won,2nd,212,9,60,3.53
Canada,Australia,1979-06-16,ODI,Birmingham,lost,7 wickets,lost,1st,105,10,33.2,3.15
Australia,Canada,1979-06-16,ODI,Birmingham,won,7 wickets,won,2nd,106,3,26,4.07
England,Pakistan,1979-06-16,ODI,Leeds,won,14 runs,lost,1st,165,9,60,2.75
Pakistan,England,1979-06-16,ODI,Leeds,lost,14 runs,won,2nd,151,10,56,2.69
England,New Zealand,1979-06-20,ODI,Manchester,won,9 runs,lost,1st,221,8,60,3.68
New Zealand,England,1979-06-20,ODI,Manchester,lost,9 runs,won,2nd,212,9,60,3.53
West Indies,Pakistan,1979-06-20,ODI,The Oval,won,43 runs,lost,1st,293,6,60,4.88
Pakistan,West Indies,1979-06-20,ODI,The Oval,lost,43 runs,won,2nd,250,10,56.2,4.43
West Indies,Australia,1979-11-27,ODI,Sydney,lost,5 wickets,lost,1st,193,10,49.3,3.89
Australia,West Indies,1979-11-27,ODI,Sydney,won,5 wickets,won,2nd,196,5,47.1,4.15
England,West Indies,1979-11-28,ODI,Sydney,won,2 runs,lost,1st,211,8,50,4.22
West Indies,England,1979-11-28,ODI,Sydney,lost,2 runs,won,2nd,196,10,47,4.17
Australia,England,1979-12-08,ODI,Melbourne,lost,3 wickets,lost,1st,207,9,50,4.14
England,Australia,1979-12-08,ODI,Melbourne,won,3 wickets,won,2nd,209,7,49,4.26
West Indies,Australia,1979-12-09,ODI,Melbourne,won,80 runs,lost,1st,271,2,48,5.64
Australia,West Indies,1979-12-09,ODI,Melbourne,lost,80 runs,won,2nd,191,8,48,3.97
England,Australia,1979-12-11,ODI,Sydney,won,72 runs,won,1st,264,7,49,5.38
Australia,England,1979-12-11,ODI,Sydney,lost,72 runs,lost,2nd,192,10,47.2,4.05
Australia,West Indies,1979-12-21,ODI,Sydney,won,7 runs,lost,1st,176,6,50,3.52
West Indies,Australia,1979-12-21,ODI,Sydney,lost,7 runs,won,2nd,169,10,42.5,3.94
England,West Indies,1979-12-23,ODI,Brisbane,lost,9 wickets,lost,1st,217,8,50,4.34
West Indies,England,1979-12-23,ODI,Brisbane,won,9 wickets,won,2nd,218,1,46.5,4.65
Australia,England,1979-12-26,ODI,Sydney,lost,4 wickets,won,1st,194,6,47,4.12
England,Australia,1979-12-26,ODI,Sydney,won,4 wickets,lost,2nd,195,6,45.1,4.31
Australia,England,1980-01-14,ODI,Sydney,lost,2 wickets,lost,1st,163,10,48.4,3.34
England,Australia,1980-01-14,ODI,Sydney,won,2 wickets,won,2nd,164,8,48.5,3.35
West Indies,England,1980-01-16,ODI,Adelaide,won,107 runs,lost,1st,246,5,50,4.92
England,West Indies,1980-01-16,ODI,Adelaide,lost,107 runs,won,2nd,139,10,42.5,3.24
Australia,West Indies,1980-01-18,ODI,Sydney,won,9 runs,won,1st,190,10,48.3,3.91
West Indies,Australia,1980-01-18,ODI,Sydney,lost,9 runs,lost,2nd,181,10,49.1,3.68
West Indies,England,1980-01-20,ODI,Melbourne,won,2 runs,lost,1st,215,8,50,4.3
England,West Indies,1980-01-20,ODI,Melbourne,lost,2 runs,won,2nd,213,7,50,4.26
England,West Indies,1980-01-22,ODI,Sydney,lost,8 wickets,won,1st,208,8,50,4.16
West Indies,England,1980-01-22,ODI,Sydney,won,8 wickets,lost,2nd,209,2,47.3,4.4
West Indies,New Zealand,1980-02-06,ODI,Christchurch,lost,1 wickets,lost,1st,203,7,50,4.06
New Zealand,West Indies,1980-02-06,ODI,Christchurch,won,1 wickets,won,2nd,207,9,49.4,4.16
West Indies,England,1980-05-28,ODI,Leeds,won,24 runs,lost,1st,198,10,55,3.6
England,West Indies,1980-05-28,ODI,Leeds,lost,24 runs,won,2nd,174,10,51.2,3.38
England,Australia,1980-08-20,ODI,The Oval,won,23 runs,lost,1st,248,6,55,4.5
Australia,England,1980-08-20,ODI,The Oval,lost,23 runs,won,2nd,225,8,55,4.09
England,Australia,1980-08-22,ODI,Birmingham,won,47 runs,lost,1st,320,8,55,5.81
Australia,England,1980-08-22,ODI,Birmingham,lost,47 runs,won,2nd,273,5,55,4.96
Pakistan,West Indies,1980-11-21,ODI,Karachi,lost,4 wickets,lost,1st,127,9,40,3.17
West Indies,Pakistan,1980-11-21,ODI,Karachi,won,4 wickets,won,2nd,128,6,40,3.2
Australia,New Zealand,1980-11-23,ODI,Adelaide,lost,3 wickets,lost,1st,217,9,50,4.34
New Zealand,Australia,1980-11-23,ODI,Adelaide,won,3 wickets,won,2nd,219,7,49.1,4.45
Australia,New Zealand,1980-11-25,ODI,Sydney,won,94 runs,won,1st,289,3,50,5.78
New Zealand,Australia,1980-11-25,ODI,Sydney,lost,94 runs,lost,2nd,195,10,42.5,4.55
Pakistan,West Indies,1980-12-05,ODI,Sialkot,lost,7 wickets,lost,1st,200,4,40,5
West Indies,Pakistan,1980-12-05,ODI,Sialkot,won,7 wickets,won,2nd,201,3,35.3,5.66
India,Australia,1980-12-06,ODI,Melbourne,won,66 runs,lost,1st,208,9,49,4.24
Australia,India,1980-12-06,ODI,Melbourne,lost,66 runs,won,2nd,142,10,42.1,3.36
New Zealand,Australia,1980-12-07,ODI,Melbourne,lost,4 wickets,won,1st,156,10,49.5,3.13
Australia,New Zealand,1980-12-07,ODI,Melbourne,won,4 wickets,lost,2nd,159,6,47.2,3.35
India,New Zealand,1980-12-09,ODI,W.A.C.A,won,5 runs,won,1st,162,10,47.4,3.39
New Zealand,India,1980-12-09,ODI,W.A.C.A,lost,5 runs,lost,2nd,157,10,49.5,3.15
India,Australia,1980-12-18,ODI,Sydney,lost,9 wickets,lost,1st,180,9,49,3.67
Australia,India,1980-12-18,ODI,Sydney,won,9 wickets,won,2nd,183,1,42.2,4.32
West Indies,Pakistan,1980-12-19,ODI,Lahore,won,7 runs,lost,1st,170,8,40,4.25
Pakistan,West Indies,1980-12-19,ODI,Lahore,lost,7 runs,won,2nd,163,6,40,4.07
India,New Zealand,1980-12-21,ODI,Brisbane,lost,3 wickets,won,1st,204,10,48.5,4.17
New Zealand,India,1980-12-21,ODI,Brisbane,won,3 wickets,lost,2nd,205,7,48.4,4.21
India,New Zealand,1980-12-23,ODI,Adelaide,won,6 runs,won,1st,230,7,50,4.6
New Zealand,India,1980-12-23,ODI,Adelaide,lost,6 runs,lost,2nd,224,10,49.3,4.52
India,Australia,1981-01-08,ODI,Sydney,lost,9 wickets,lost,1st,63,10,25.5,2.43
Australia,India,1981-01-08,ODI,Sydney,won,9 wickets,won,2nd,64,1,21,3.04
India,New Zealand,1981-01-10,ODI,Melbourne,lost,10 wickets,lost,1st,112,9,34,3.29
New Zealand,India,1981-01-10,ODI,Melbourne,won,10 wickets,won,2nd,113,0,29,3.89
India,Australia,1981-01-11,ODI,Melbourne,lost,7 wickets,lost,1st,192,5,50,3.84
Australia,India,1981-01-11,ODI,Melbourne,won,7 wickets,won,2nd,193,3,47.2,4.07
New Zealand,Australia,1981-01-13,ODI,Sydney,won,1 runs,won,1st,220,8,50,4.4
Australia,New Zealand,1981-01-13,ODI,Sydney,lost,1 runs,lost,2nd,219,7,50,4.38
Australia,India,1981-01-15,ODI,Sydney,won,27 runs,lost,1st,242,8,50,4.84
India,Australia,1981-01-15,ODI,Sydney,lost,27 runs,won,2nd,215,8,50,4.3
New Zealand,India,1981-01-18,ODI,Brisbane,won,22 runs,lost,1st,242,9,50,4.84
India,New Zealand,1981-01-18,ODI,Brisbane,lost,22 runs,won,2nd,220,10,48.1,4.56
New Zealand,Australia,1981-01-29,ODI,Sydney,won,78 runs,lost,1st,233,6,50,4.66
Australia,New Zealand,1981-01-29,ODI,Sydney,lost,78 runs,won,2nd,155,10,39.3,3.92
New Zealand,Australia,1981-01-31,ODI,Melbourne,lost,7 wickets,lost,1st,126,10,46.4,2.7
Australia,New Zealand,1981-01-31,ODI,Melbourne,won,7 wickets,won,2nd,130,3,39.3,3.29
Australia,New Zealand,1981-02-01,ODI,Melbourne,won,6 runs,won,1st,235,4,50,4.7
New Zealand,Australia,1981-02-01,ODI,Melbourne,lost,6 runs,lost,2nd,229,8,50,4.58
New Zealand,Australia,1981-02-03,ODI,Sydney,lost,6 wickets,won,1st,215,8,50,4.3
Australia,New Zealand,1981-02-03,ODI,Sydney,won,6 wickets,lost,2nd,218,4,47.4,4.57
West Indies,England,1981-02-04,ODI,Kingstown,won,2 runs,lost,1st,127,10,47.2,2.68
England,West Indies,1981-02-04,ODI,Kingstown,lost,2 runs,won,2nd,125,10,48.2,2.58
New Zealand,India,1981-02-14,ODI,Auckland,won,78 runs,lost,1st,218,6,45,4.84
India,New Zealand,1981-02-14,ODI,Auckland,lost,78 runs,won,2nd,140,9,45,3.11
New Zealand,India,1981-02-15,ODI,Hamilton,won,57 runs,lost,1st,210,8,50,4.2
India,New Zealand,1981-02-15,ODI,Hamilton,lost,57 runs,won,2nd,153,10,45.2,3.37
England,West Indies,1981-02-26,ODI,Albion,lost,6 wickets,lost,1st,137,10,47.2,2.89
West Indies,England,1981-02-26,ODI,Albion,won,6 wickets,won,2nd,138,4,39.3,3.49
Australia,England,1981-06-06,ODI,Birmingham,won,2 runs,lost,1st,249,8,55,4.52
England,Australia,1981-06-06,ODI,Birmingham,lost,2 runs,won,2nd,247,10,54.5,4.5
Australia,England,1981-06-08,ODI,Leeds,won,71 runs,lost,1st,236,8,55,4.29
England,Australia,1981-06-08,ODI,Leeds,lost,71 runs,won,2nd,165,10,46.5,3.52
West Indies,Pakistan,1981-11-21,ODI,Melbourne,won,18 runs,lost,1st,245,8,50,4.9
Pakistan,West Indies,1981-11-21,ODI,Melbourne,lost,18 runs,won,2nd,227,6,50,4.54
Australia,Pakistan,1981-11-22,ODI,Melbourne,lost,4 wickets,lost,1st,209,9,50,4.18
Pakistan,Australia,1981-11-22,ODI,Melbourne,won,4 wickets,won,2nd,210,6,49.2,4.25
West Indies,Australia,1981-11-24,ODI,Sydney,lost,7 wickets,won,1st,236,8,49,4.81
Australia,West Indies,1981-11-24,ODI,Sydney,won,7 wickets,lost,2nd,237,3,47,5.04
India,England,1981-11-25,ODI,Ahmedabad,lost,5 wickets,lost,1st,156,7,46,3.39
England,India,1981-11-25,ODI,Ahmedabad,won,5 wickets,won,2nd,160,5,43.5,3.65
Pakistan,West Indies,1981-12-05,ODI,Adelaide,won,8 runs,lost,1st,140,10,49,2.85
West Indies,Pakistan,1981-12-05,ODI,Adelaide,lost,8 runs,won,2nd,132,10,38.5,3.39
Australia,Pakistan,1981-12-06,ODI,Adelaide,won,38 runs,won,1st,208,10,48.3,4.28
Pakistan,Australia,1981-12-06,ODI,Adelaide,lost,38 runs,lost,2nd,170,8,50,3.4
Australia,Pakistan,1981-12-17,ODI,Sydney,lost,6 wickets,lost,1st,222,6,50,4.44
Pakistan,Australia,1981-12-17,ODI,Sydney,won,6 wickets,won,2nd,223,4,43.2,5.14
Pakistan,West Indies,1981-12-19,ODI,W.A.C.A,lost,7 wickets,won,1st,160,10,44.4,3.58
West Indies,Pakistan,1981-12-19,ODI,W.A.C.A,won,7 wickets,lost,2nd,161,3,42.2,3.8
Australia,West Indies,1981-12-20,ODI,W.A.C.A,lost,8 wickets,lost,1st,188,9,50,3.76
West Indies,Australia,1981-12-20,ODI,W.A.C.A,won,8 wickets,won,2nd,190,2,30,6.33
England,India,1981-12-20,ODI,Jalandhar,lost,6 wickets,lost,1st,161,7,36,4.47
India,England,1981-12-20,ODI,Jalandhar,won,6 wickets,won,2nd,164,4,35.3,4.61
Pakistan,Australia,1982-01-09,ODI,Melbourne,won,25 runs,lost,1st,218,6,50,4.36
Australia,Pakistan,1982-01-09,ODI,Melbourne,lost,25 runs,won,2nd,193,10,49,3.93
Australia,West Indies,1982-01-10,ODI,Melbourne,lost,5 wickets,won,1st,146,10,42.5,3.4
West Indies,Australia,1982-01-10,ODI,Melbourne,won,5 wickets,lost,2nd,147,5,47.1,3.11
Pakistan,West Indies,1982-01-12,ODI,Sydney,lost,7 wickets,won,1st,191,7,50,3.82
West Indies,Pakistan,1982-01-12,ODI,Sydney,won,7 wickets,lost,2nd,192,3,42.1,4.55
Australia,Pakistan,1982-01-14,ODI,Sydney,won,76 runs,lost,1st,230,5,50,4.6
Pakistan,Australia,1982-01-14,ODI,Sydney,lost,76 runs,won,2nd,154,10,40.3,3.8
Pakistan,West Indies,1982-01-16,ODI,Brisbane,lost,1 wickets,lost,1st,177,9,50,3.54
West Indies,Pakistan,1982-01-16,ODI,Brisbane,won,1 wickets,won,2nd,107,9,28.5,3.71
Australia,West Indies,1982-01-17,ODI,Brisbane,lost,5 wickets,lost,1st,185,9,40,4.62
West Indies,Australia,1982-01-17,ODI,Brisbane,won,5 wickets,won,2nd,186,5,38.4,4.81
West Indies,Australia,1982-01-19,ODI,Sydney,lost,5 runs,lost,1st,189,10,50,3.78
Australia,West Indies,1982-01-19,ODI,Sydney,won,5 runs,won,2nd,168,7,43.1,3.89
West Indies,Australia,1982-01-23,ODI,Melbourne,won,86 runs,lost,1st,216,8,49,4.4
Australia,West Indies,1982-01-23,ODI,Melbourne,lost,86 runs,won,2nd,130,10,37.4,3.45
West Indies,Australia,1982-01-24,ODI,Melbourne,won,128 runs,won,1st,235,9,50,4.7
Australia,West Indies,1982-01-24,ODI,Melbourne,lost,128 runs,lost,2nd,107,10,32.2,3.3
Australia,West Indies,1982-01-26,ODI,Sydney,won,46 runs,lost,1st,214,8,50,4.28
West Indies,Australia,1982-01-26,ODI,Sydney,lost,46 runs,won,2nd,168,10,42.5,3.92
West Indies,Australia,1982-01-27,ODI,Sydney,won,18 runs,won,1st,234,6,50,4.68
Australia,West Indies,1982-01-27,ODI,Sydney,lost,18 runs,lost,2nd,216,9,50,4.32
England,India,1982-01-27,ODI,Cuttack,lost,5 wickets,lost,1st,230,6,46,5
India,England,1982-01-27,ODI,Cuttack,won,5 wickets,won,2nd,231,5,42,5.5
New Zealand,Australia,1982-02-13,ODI,Auckland,won,46 runs,lost,1st,240,6,50,4.8
Australia,New Zealand,1982-02-13,ODI,Auckland,lost,46 runs,won,2nd,194,10,44.5,4.32
England,Sri Lanka,1982-02-13,ODI,Colombo (SSC),won,5 runs,lost,1st,211,10,44.4,4.72
Sri Lanka,England,1982-02-13,ODI,Colombo (SSC),lost,5 runs,won,2nd,206,8,45,4.57
Sri Lanka,England,1982-02-14,ODI,Colombo (SSC),won,3 runs,lost,1st,215,7,45,4.77
England,Sri Lanka,1982-02-14,ODI,Colombo (SSC),lost,3 runs,won,2nd,212,10,44.5,4.72
New Zealand,Australia,1982-02-17,ODI,Dunedin,lost,6 wickets,lost,1st,159,9,49,3.24
Australia,New Zealand,1982-02-17,ODI,Dunedin,won,6 wickets,won,2nd,160,4,45,3.55
New Zealand,Australia,1982-02-20,ODI,Wellington,lost,8 wickets,lost,1st,74,10,29,2.55
Australia,New Zealand,1982-02-20,ODI,Wellington,won,8 wickets,won,2nd,75,2,20.3,3.65
Sri Lanka,Pakistan,1982-03-12,ODI,Karachi,lost,8 wickets,lost,1st,171,3,33,5.18
Pakistan,Sri Lanka,1982-03-12,ODI,Karachi,won,8 wickets,won,2nd,174,2,29.2,5.93
Pakistan,Sri Lanka,1982-03-29,ODI,Lahore,lost,30 runs,lost,1st,239,4,40,5.97
Sri Lanka,Pakistan,1982-03-29,ODI,Lahore,won,30 runs,won,2nd,227,4,33,6.87
Sri Lanka,Pakistan,1982-03-31,ODI,Karachi,lost,5 wickets,lost,1st,218,10,38.3,5.66
Pakistan,Sri Lanka,1982-03-31,ODI,Karachi,won,5 wickets,won,2nd,222,5,38.1,5.81
India,England,1982-06-02,ODI,Leeds,lost,9 wickets,lost,1st,193,10,55,3.5
England,India,1982-06-02,ODI,Leeds,won,9 wickets,won,2nd,194,1,50.1,3.86
England,India,1982-06-04,ODI,The Oval,won,114 runs,lost,1st,276,9,55,5.01
India,England,1982-06-04,ODI,The Oval,lost,114 runs,won,2nd,162,8,55,2.94
Pakistan,England,1982-07-17,ODI,Nottingham,lost,7 wickets,won,1st,250,6,55,4.54
England,Pakistan,1982-07-17,ODI,Nottingham,won,7 wickets,lost,2nd,252,3,47.1,5.34
England,Pakistan,1982-07-19,ODI,Manchester,won,73 runs,lost,1st,295,8,55,5.36
Pakistan,England,1982-07-19,ODI,Manchester,lost,73 runs,won,2nd,222,10,49.4,4.46
India,Sri Lanka,1982-09-12,ODI,Amritsar,won,78 runs,lost,1st,269,7,46,5.84
Sri Lanka,India,1982-09-12,ODI,Amritsar,lost,78 runs,won,2nd,191,8,46,4.15
Sri Lanka,India,1982-09-15,ODI,Delhi,lost,6 wickets,won,1st,277,8,50,5.54
India,Sri Lanka,1982-09-15,ODI,Delhi,won,6 wickets,lost,2nd,281,4,40.5,6.88
Pakistan,Australia,1982-09-20,ODI,Hyderabad (Sind),won,59 runs,lost,1st,229,6,40,5.72
Australia,Pakistan,1982-09-20,ODI,Hyderabad (Sind),lost,59 runs,won,2nd,170,9,40,4.25
Sri Lanka,India,1982-09-26,ODI,Bengaluru,lost,6 wickets,won,1st,233,8,50,4.66
India,Sri Lanka,1982-09-26,ODI,Bengaluru,won,6 wickets,lost,2nd,234,4,39.2,5.94
Pakistan,Australia,1982-10-08,ODI,Lahore,won,28 runs,lost,1st,234,3,40,5.85
Australia,Pakistan,1982-10-08,ODI,Lahore,lost,28 runs,won,2nd,206,4,40,5.15
Pakistan,India,1982-12-03,ODI,Gujranwala,won,14 runs,lost,1st,224,4,40,5.6
India,Pakistan,1982-12-03,ODI,Gujranwala,lost,14 runs,won,2nd,210,6,40,5.25
Pakistan,India,1982-12-17,ODI,Multan,won,37 runs,won,1st,263,2,40,6.57
India,Pakistan,1982-12-17,ODI,Multan,lost,37 runs,lost,2nd,226,7,40,5.65
Pakistan,India,1982-12-31,ODI,Lahore,lost,18 runs,won,1st,252,3,33,7.63
India,Pakistan,1982-12-31,ODI,Lahore,won,18 runs,lost,2nd,193,4,27,7.14
New Zealand,Australia,1983-01-09,ODI,Melbourne,lost,8 wickets,lost,1st,181,10,44.5,4.03
Australia,New Zealand,1983-01-09,ODI,Melbourne,won,8 wickets,won,2nd,182,2,46.4,3.9
